pair,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio
9937-2645,2022-10-14,2024-10-14,0.10310921833827258,0.05275715726088355,0.14191071716503179,0.4334035702692132
9937-1210,2022-10-14,2024-10-14,0.1293187027667697,0.0657884889792255,0.15499403128512126,0.4877045340684557
9937-2247,2022-10-14,2024-10-14,-0.09231433826321453,-0.04947829821861856,0.13894384358817907,-0.2960425058484655
9937-5289,2022-10-14,2024-10-14,-0.117985198288936,-0.06365834272822349,0.14295874996658217,-0.3892708169834738
9937-6579,2022-10-14,2024-10-14,-0.023496154836404076,-0.012379494415676496,0.15962789584498693,0.00038160264914983424
9937-2455,2022-10-14,2024-10-14,-0.06638266676272486,-0.03534674155307892,0.15838235483429858,-0.14931625056198763
9937-2441,2022-10-14,2024-10-14,0.07484681998611226,0.038538828253886555,0.14990294466813495,0.3264958489550272
9937-6803,2022-10-14,2024-10-14,0.07593300985508764,0.039088537372298754,0.14624132244612031,0.3348538725854906
9937-5388,2022-10-14,2024-10-14,-0.0019019868245167945,-0.0009969186927421493,0.13361140433363566,0.05828907152879659
9937-2634,2022-10-14,2024-10-14,0.06470139203466053,0.03339150706342755,0.15719049432392468,0.2872082746769227
9937-2421,2022-10-14,2024-10-14,0.007919687356491277,0.004141399790698286,0.14610371395991215,0.10008676439259631
9937-2352,2022-10-14,2024-10-14,0.01227495695012368,0.006412275957469188,0.16146278034192482,0.11946955194448115
9937-2206,2022-10-14,2024-10-14,0.15032218408545384,0.07612780290734375,0.12064211406488326,0.6669739877154603
9937-4979,2022-10-14,2024-10-14,-0.007227619289737324,-0.0037931495057733264,0.14110607350699014,0.042635504500849276
9937-3231,2022-10-14,2024-10-14,0.020526722924335696,0.010702101310946425,0.1500003238123774,0.14474751702702485
6231-0050,2022-10-14,2024-10-14,-0.3351550079110833,-0.19253871719662183,0.35581819181130786,-0.42148080916277997
6231-3363,2022-10-14,2024-10-14,-0.3487524533756072,-0.20123322064158983,0.654623970885119,-0.019685138954950998
6231-3013,2022-10-14,2024-10-14,-0.9240797230268966,-0.7409343104319763,1.100768132462652,-0.6386995679273317
6231-8069,2022-10-14,2024-10-14,0.3737315739400218,0.1809947595319673,0.4295640425636318,0.5980029253174488
6231-6535,2022-10-14,2024-10-14,-0.5178595984104589,-0.3176425943939228,0.35901014721015656,-0.8813906533647116
6231-1301,2022-10-14,2024-10-14,0.5643354168098222,0.26418629978225666,0.6657812396999888,0.7152725290271571
6231-2543,2022-10-14,2024-10-14,-0.9942862432776388,-0.9331914289967167,1.491335302494494,-0.9079586716498281
6231-6451,2022-10-14,2024-10-14,-0.3560739099433333,-0.20595052604631245,0.47285053362396773,-0.25272382250351066
6231-1303,2022-10-14,2024-10-14,0.3845394253901566,0.1858535697848639,0.8245261014295433,0.6359402986572517
6231-2362,2022-10-14,2024-10-14,5.370366711938171,1.6382053775947996,2.0369270254019836,0.4827617581035561
6231-00785B,2022-10-14,2024-10-14,10.587488748077773,2.609383901267605,2.8500182916128263,0.852306792182162
6231-6869,2022-10-14,2024-10-14,-0.24975956030919352,-0.1397662797967782,0.5371724711736714,-0.0013695019798523724
6231-6505,2022-10-14,2024-10-14,0.5822393993834326,0.2717460616378717,0.967550985716074,0.7085737347886735
6231-2923,2022-10-14,2024-10-14,-0.7105070530252454,-0.4776668941535499,5.443621840792258,1.2409610278999728
6231-2467,2022-10-14,2024-10-14,-0.09775015205962194,-0.05246482974671177,0.4258065999107828,0.0841929487158591
6231-2881,2022-10-14,2024-10-14,1.6985311454282181,0.6821756340804562,0.6830327147107584,1.0908291314094527
6231-2882,2022-10-14,2024-10-14,2.95020949112106,1.0538767120311905,0.9263639240355296,1.2063081794125061
6231-1785,2022-10-14,2024-10-14,9.721863619491206,2.4655117922105325,2.042347348115089,1.2260922091240705
3413-0050,2022-10-14,2024-10-14,0.5285299500713456,0.2489432195108336,0.16850981582087327,1.4013347783046701
3413-2330,2022-10-14,2024-10-14,0.6302880058352852,0.2918351391734,0.14004701502888497,1.896641057338278
3413-8069,2022-10-14,2024-10-14,0.8831882024677739,0.3932182848784773,0.21204668856340492,1.6677832508500965
3413-6535,2022-10-14,2024-10-14,0.06320762553991494,0.032631670191458434,0.20902370559520025,0.2592986845560871
3413-2227,2022-10-14,2024-10-14,0.4971748521073739,0.23545453863021598,0.16217190212102864,1.3838528819007174
3413-1303,2022-10-14,2024-10-14,-0.16707249854119863,-0.0913315768644548,0.4086565823402171,-0.02968864622350019
3413-2362,2022-10-14,2024-10-14,-0.5796762953917367,-0.36497271207932647,0.9218365916375685,0.060295954218291314
3413-1442,2022-10-14,2024-10-14,1.1368921082341972,0.48859279511419446,0.48913146197854473,1.0420779890154932
3413-00785B,2022-10-14,2024-10-14,0.9269923941854307,0.4101037273035325,1.287203976919814,0.9417771625524736
3413-6116,2022-10-14,2024-10-14,22467.01826263417,189.46793547599066,3.9769861504547945,1.3633748788196387
3413-5434,2022-10-14,2024-10-14,0.1698429349125718,0.0856569266949571,0.15107985634094825,0.6187108737384429
3413-8070,2022-10-14,2024-10-14,3.21233149025435,1.12418668616951,0.7126719414869348,1.418465380029959
3413-6505,2022-10-14,2024-10-14,0.29723429339985524,0.14607044795137836,0.4654769253232965,0.5173329104866761
3413-2881,2022-10-14,2024-10-14,1.069653228935396,0.46386638342498404,0.5230352089692549,0.9760054698621317
3413-1434,2022-10-14,2024-10-14,1.5400665370699347,0.6296779713350907,0.8883783797757981,0.9847409350609524
3413-2883,2022-10-14,2024-10-14,-0.2194840418290881,-0.12175052096870606,2.34497898112003,0.81972244172065
3413-2317,2022-10-14,2024-10-14,0.6310337198272937,0.29214468377642744,0.19033033333346316,1.4415808989538197
3413-2504,2022-10-14,2024-10-14,7.185303087159934,2.00847700332051,0.5952587797769987,2.1115535455414083
3413-2850,2022-10-14,2024-10-14,0.00865418227492675,0.004524698969037064,0.2369197378185128,0.13921058379057008
3413-5508,2022-10-14,2024-10-14,0.11298852881736543,0.05768627269863904,0.1863009076860449,0.39270512363200344
3413-1785,2022-10-14,2024-10-14,3.00247121044253,1.068068344192907,1.0467532454257997,1.2187760892035036
1210-6147,2022-10-14,2024-10-14,0.1949443897153204,0.09779972205830385,0.08614595754660284,1.1250068787052558
1210-2441,2022-10-14,2024-10-14,0.24874632994566395,0.12342392537127668,0.09041987045338305,1.330624010664039
1210-8150,2022-10-14,2024-10-14,0.12113117630859724,0.061733270692091925,0.11526301205130501,0.576177949932741
1210-5388,2022-10-14,2024-10-14,-0.009116297063710855,-0.004786517098937969,0.07814949069701428,-0.022885501214366128
1210-6643,2022-10-14,2024-10-14,0.021808091934936262,0.01136676005566156,0.08048167597819746,0.17982526809486166
1210-3260,2022-10-14,2024-10-14,0.13829813097050422,0.0702198697538846,0.10028006799686227,0.7257708885267419
1210-6679,2022-10-14,2024-10-14,0.19019019692450478,0.095509278461554,0.0750149751486725,1.2525329682479132
1210-3264,2022-10-14,2024-10-14,0.1241943764330037,0.06325209540728402,0.08624759561350187,0.7535003149110193
1210-6531,2022-10-14,2024-10-14,0.15537428654946453,0.07860134138109592,0.08533194083055676,0.9283034093338365
1210-3515,2022-10-14,2024-10-14,0.015552438111612842,0.008118117871092968,0.06049682163107494,0.16364598059637855
1210-6691,2022-10-14,2024-10-14,0.16400300696075698,0.08281413487339127,0.10920694150880857,0.781848979109439
1210-2421,2022-10-14,2024-10-14,0.11526483359654098,0.05881904018923566,0.09305649749492233,0.6592827109110257
1210-8086,2022-10-14,2024-10-14,0.11804172002231866,0.06019942491512195,0.09924801244334891,0.6372580452928444
1210-1722,2022-10-14,2024-10-14,0.22808927788753322,0.11364898604131027,0.10263713610930048,1.0986665796794652
1210-2204,2022-10-14,2024-10-14,0.0291068919547292,0.015145176017234056,0.09326187964520077,0.2070825506805413
1210-8016,2022-10-14,2024-10-14,0.08689135302733599,0.04461972918145825,0.0939654617808285,0.5104654558884616
00878-2337,2022-10-14,2024-10-14,0.39923810615672356,0.19243266766897812,0.10795789397110714,1.6840165724033507
00878-6579,2022-10-14,2024-10-14,0.05192157764305472,0.026874269030411846,0.04807144598929625,0.5755729052974033
00878-4743,2022-10-14,2024-10-14,0.10623054441655541,0.054316753128401736,0.0570516694541628,0.9554752213631774
00878-6550,2022-10-14,2024-10-14,0.007715109904213805,0.004034616534475756,0.09136500828593201,0.09062345230750467
00878-1215,2022-10-14,2024-10-14,-0.08448539776545093,-0.04519186376547586,0.04961161150932666,-0.9072764538687084
00878-0056,2022-10-14,2024-10-14,0.008098726324013766,0.004234844261994678,0.03852827874144535,0.12882979594961363
00878-6125,2022-10-14,2024-10-14,0.02973596521855851,0.015470234257241958,0.04443879104464931,0.3675387280080775
00878-3706,2022-10-14,2024-10-14,0.0791173453254013,0.040698574787101156,0.05890467404129627,0.7064697452215358
